Site Name,Postcode,Customer,Station Location,Location,Serial Number,Inverter Type,Power (kW),No. of Inverters,Comments
ABP Barry Port,CF63 3US,Centrica,1,1,8151502988,ABB PVS800-57,800,4,
ABP Barry Port,CF63 3US,Centrica,1,2,8151502650,ABB PVS800-57,800,,
ABP Barry Port,CF63 3US,Centrica,2,3,8151501155,ABB PVS800-57,800,,
ABP Barry Port,CF63 3US,Centrica,2,4,8151501248,ABB PVS800-57,800,,
Actrees,GL13 9PP,IB Vogt,A,A.1,U21522001614,Schneider Conext Core XC,680,6,
Actrees,GL13 9PP,IB Vogt,A,A.2,U21511030011,Schneider Conext Core XC,680,,
Actrees,GL13 9PP,IB Vogt,B,B.1,U21511000514,Schneider Conext Core XC,680,,
Actrees,GL13 9PP,IB Vogt,B,B.2,U21511030008,Schneider Conext Core XC,680,,
Actrees,GL13 9PP,IB Vogt,C,C.1,U21524030022,Schneider Conext Core XC,680,,
Actrees,GL13 9PP,IB Vogt,C,C.2,U21511000511,Schneider Conext Core XC,680,,
Aller Court,TA10 0QR,British Solar Renewables,1,1.1,180804428,SMA SC-xxxCP-10,,4,
Aller Court,TA10 0QR,British Solar Renewables,1,1.2,180804429,SMA SC-xxxCP-10,,,
Aller Court,TA10 0QR,British Solar Renewables,2,2.1,180804430,SMA SC-xxxCP-10,,,
Aller Court,TA10 0QR,British Solar Renewables,2,2.2,180804431,SMA SC-xxxCP-10,,,
Ardleigh,CO7 7SS,IB Vogt,A,A.1,U21543000194,Schneider Conext Core XC,680,14,
Ardleigh,CO7 7SS,IB Vogt,A,A.2,U21541001052,Schneider Conext Core XC,680,,
Ardleigh,CO7 7SS,IB Vogt,B,B.1,U21535000405,Schneider Conext Core XC,680,,
Ardleigh,CO7 7SS,IB Vogt,B,B.2,U21536000717,Schneider Conext Core XC,680,,
Ardleigh,CO7 7SS,IB Vogt,C,C.1,U21542001554,Schneider Conext Core XC,680,,
Ardleigh,CO7 7SS,IB Vogt,C,C.2,U21541000999,Schneider Conext Core XC,680,,
