Product/Service Name,Category,Sales Description,SKU,Sales Price,Tax on Sales,Income Account,Purchase Description,Purchase Cost,Tax on Purchases,Purchase Cost Includes Tax,Expense Account,Quantity On Hand,Low Stock Alert,Stock Asset Account,Quantity as-of Date,,,,,
ABB PVS-800:2 x 15V Mini Power Supply,ABB PVS800,240VAC / 2x15VDC Mini Power Supply,,£250.00,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:ABB Charging Resistor,ABB PVS800,CBHX 165 C 5R 414 Charging Resistor,64803689,£75.48,20.0% S,Sales of Product Income,,,,,,,,,,,"NOTE: Quantity on Hand is calculated at the time you export your Products and Services list. If you have Quantity on Hand adjustments dated in the future, the Quantity on Hand amount you exported may not match the Quantity on Hand displayed in the Products and Services list in QuickBooks Online.",,,
ABB PVS-800:ABB DC Module,ABB PVS800,DC Module for PVS-800-57,3AUA0000114471,"£10,000.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:ABB IGBT,ABB PVS800,ABB IGBT,ABB IGBT,"£2,500.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:ABB Module Inspection,ABB PVS800,Inspection of ABB PVS800-57 module,,£250.00,20.0% S,Services,,,,,,,,,,,,,,
ABB PVS-800:ABB PVS-800 Main Switch,ABB PVS800,ABB PVS-800 Main Switch,,"£4,000.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:ABB PVS800 Cabinet Door Air Filters,ABB PVS800,Cabinet Door Air Filters,,£200.00,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:ABB PVS800 LCL Filter,ABB PVS800,ABB PVS800 LCL Filter,,"£2,000.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:ABB R8i Module,ABB PVS800,R8i Module,,"£20,000.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:ACS800-104-XXXX-3/5/7; FLAT CABLE,ABB PVS800,ACS800-104-XXXX-3/5/7; FLAT CABLE,,£109.50,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:AFIN-02C,ABB PVS800,AFIN-02C Motor Control Board,3AXD50000038423,"£1,000.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:AFPS-11,ABB PVS800,AFPS-11 PCB,,"£1,000.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:AINT-14C,ABB PVS800,MC Interface Board,68685826,"£1,021.88",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:APOW-01C,ABB PVS800,Power Supply Board APOW-01C,64605666,£585.37,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:Cabinet Fan,ABB PVS800,Single cabinet fan for PVS-800,,£200.00,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:Cooling fan of LCL-filter unit,ABB PVS800,Cooling fan of LCL-filter unit,64650424,"£1,650.00",20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:DC Measurement Board,ABB PVS800,DC Measurement Board,A21,£600.00,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:Main cooling fan inverter unit PVS800,ABB PVS800,Main cooling fan inverter unit,,£495.00,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:Memory backup-battery in the Data Logger Unit,ABB PVS800,BR2032 Battery,,£3.00,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
ABB PVS-800:Murr Elecktronik 24V Power Supply,ABB PVS800,Murr Elecktronik 24V Power Supply,,£250.00,20.0% S,Sales of Product Income,,,,,,,,,,,,,,
