Inverter Code,Manufacturer Description,LT Description,Potential Parts,Comments
1301,Left-hand rotating magnetic field is connected.,,,
1500,AC Connection Issue,AC grid not stable,,Check AC switch is on. Check frequency
3403,PV array voltage is too high.,,,
3404,Open-circuit voltage is too high. Disturbance detected by standard monitoring,,,
3406,The DC voltage is too high.,,,
3501,The insulation monitoring device has measured a too low grounding resistance.,RISO error - below 1kOhm,Bender,
3502,The GFDI has tripped.,GFDI has tripped,GFDI,
3504,The insulation monitoring device has detected an insulation error.,,,
3507,A ground fault has occurred on the ungrounded terminal of the PV array.,,,
3510,The inverter has detected an insulation error on the inverter bridge.,,,
3511,,,,
3512,,,,
3515,,,,
3517,,,,
3520,,,,
3601,RISO error - below 45kOhm,RISO error - below 45kOhm,Bender,
3803,PV Array Current is too high,PV Array Current is too high,,
3803,The PV array current is too high.,,,
4003,Reverse current detected,Reverse current detected,,
4003,Reverse currents detected in the PV array or DC connection polarity reversed,,,
6002,,,,
6113,,,,
6115,,,,
6116,,,,
6117,,,,
6119,,,,
6120,Watchdog tripping error,,,
6121,No response from watchdog,,,
6122,Ten internal monitoring errors have occurred in succession.,,,
6128,General error,,,
6404,"Overcurrent at L1, L2, L3",Stack fault,,Check SMA stack or Semikron - if Semikron check for 2-digit code on AST board
6405,Overvoltage in the DC link of the inverter bridge,,,
6410,24V supply voltage is invalid.,,,
6417,15V supply voltage is invalid.,,,
6418,Overtemperature of the inverter bridge,,,
6422,Inverter bridge is in an undefined state,Inverter doesn't know which stack it has,,Check stack parameters
6423,Overtemperature in the switch cabinet,,Choke,
6425,Synchronization error with utility grid,,AC LEMs / Capacitors,
6427,Sensor error of DC voltage measurement,,,
6440,The HV transformer is no longer hermetically sealed,,Check trafo parameters / check RIS on-site,
6441,Sensor error during measurement of DC Voltage,,,
6443,Unspecified error in digital signal processor,,,
6447,Self-test of inverter bridge failed,,,
6448,RISO device provides non-permitted values,RISO settings incorrect,Bender / cable between CAIO and Bender,
6451,Measured AC voltage of the inverter is less than utility grid voltage.,,,
6452,Measured AC voltage of the utility grid is less than inverter voltage.,,,
6453,AC voltage of grid limit monitoring is faulty.,,,
6454,AC current is faulty.,,,
6455,AC voltage is faulty.,,,
6456,Pre-charging circuit of DC link is defective.,,,
6457,Capacitor self test has failed,,Capacitors (in stack cabinet),can also be AC CTs
6461,Insulation monitoring device has not adopted threshold.,,,
6471,Online capacitor self-test has failed.,,,
6472,Endless loop between online and offline capacitor test,,,
6486,Inadmissible deviations between AC power and DC power has been detected,,,
6487,AC ground fault has been detected.,,,
6501,Interior temperature of inverter is too high.,,,
6502,Temperature of inverter bridge is too high.,,3-phase fan / choke ?,
6508,Outside temperature is too high.,External temp sensor faulty,Temp sensor in roof,
6512,Minimum operating temperature not reached.,,,
6605,The fast stop was tripped due overtemperature in the switch cabinet.,,,
7001,Cable break or short circuit at inverter temperature sensor,,,
7002,Cable break or short circuit at inverter temperature sensor,,,
7004,Cable break or short circuit at inverter temperature sensor,,,
7006,Cable break or short circuit at inverter temperature sensor,,,
7501,Interior fan is defective,Interior fan is defective,LHS small fan - left,
7502,Interior fan is defective,Interior fan is defective,LHS small fan - right,
7503,Interior fan is defective,Interior fan is defective,3-phase fan,
7507,Motor-protective circuit breaker of fan has tripped.,Interior fan is defective,Fan 3 in cabinet 2,
7510,Interior fan is defective,Interior fan is defective,,
7600,Internal Comms Error,,SC-COM/SC20CONT/SC20CAIO/display,
7601,Internal inverter error,,,
7602,Internal communication error has occurred or communication is interrupted.,,,
7605,Internal communication error has occurred or communication is interrupted.,,SC20CAIO,
7704,Faulty switching status of DC switchgear,DC switch fault,Coils / DC Switch,Check which DC switch it is - EMax / TMax
7706,Faulty switching status of the DC switchgear,,,
7707,Faulty switching status of AC disconnection unit,AC Contactor fault,AC Contactor / PCB,
7708,Faulty switching status of Remote GFDI,Remote GFDI,Remote GFDI Switch,
7709,90% of switch cycles of the DC switchgear reached,,,
7710,100% of switch cycles of the DC switchgear reached,,,
7714,Maximum number of GFDI switches reached,GFDI switch number high,Parameter / firmware,Check the number of switches - potential watchdog issue which a firmware update will cure
7801,Surge arrester is defective,Surge arrester is defective,Surge arrester / connection cable,Check cable in bottom of surge protection
7901,Reverse current has occurred in PV array,,,
8004,The inverter starts to derate due to overcurrent at the DC switchgear (SMID),,,
8701,"External active power setpoints are smaller than 2 mA and therefore invalid. The last valid value or, after a day change, Pmax is used. Once valid setpoints are available again, these will be used.",External active power setpoint,,
8702,,,,
8703,,,,
8704,,,,
9000,Power electronics self-test is running. This message disappears once the self-test is complete.,,,
9009,Fast stop has tripped.,,,
9013,,,,
9019,Defective fast stop,Fast stop circuit needs checking,,"Check parameters and if a fast stop is installed, check that"
0103,Grid voltage is too high. Overvoltage detected by redundant monitoring.,,,
0104,Grid voltage is too high. Overvoltage detected by standard monitoring.,,,
0203,Grid voltage is too low. Undervoltage detected by redundant monitoring.,,,
0204,Grid voltage is too low. Undervoltage detected by standard monitoring.,,,
0205,Grid synchronization not possible,,,
0404,Frequency change per second too high for grid operation,,,
0502,,,,
0503,,,,
0504,,,,
0505,,,,
0506,,,,
0801,,,,
0802,,,,
