Inverter Code,Event Condition Name,Manufacturer Description,LT Description,Details,Potential Parts,Comments
1000,Schneider Operation Manual,Schneider Operation Manual,Schneider Operation Manual,Schneider Operation Manual,Schneider Operation Manual,Schneider Operation Manual
2038,Anlg. P. Lim Out of Range,,,,,
2050,Single Phase Transient,See 0050,,,,
2077,PVO Aux Power,,,,,
2100,Line Control not Ready,"The Conext Core XC Series detects that the line control is not running or not ready for pre-charging. Once the line control sends an active signal, the Conext Core XC Series automatically clears this event and resumes normal operation after the Grid Reconnection Delay period.",,,,
2601,Hardware DC Over Voltage,,,,,
2616,Ground Fault or PV Mov,"The DC voltage is above the IGBT hardware-set over-voltage threshold. Once the DC voltage has recovered within the acceptable operating range, the Conext Core XC Series resets the hardware latch, waits for the Int Error Recon Delay period to pass, and then automatically clears this event and resumes normal operation after the Grid Reconnection Delay period.",RISO or QF11 off,"Check Bender, RISO or QF11",,
4005,Fan Rotation,"One of the fans has reported a fan block signal for longer than the Fan Block Delay period. Fan blocked by debris, or fan failure detected. The Conext Core XC Series begins power limiting at 10% of nominal active power.",Fan fault,Any fan or a fan capacitor failed,AIC Fan / Small Fan / Capacitor / Fan card,
4036,RTC Service Mode,,,,,
0006,PV Power Interrupted,The PV disconnect has transitioned from closed to open while the Conext Core XC Series was in Online mode.,PV Masterpact opened during operation,,48V UVR / Terminal Board,
0007,AC Power Interrupted,The AC circuit breaker has transitioned from closed to open while the Conext Core XC Series was in Online mode.,AC Masterpact opened during operation,,48V UVR / A14 Board,
0010,AC Switch Response,The number of AC Switch Response events (code 2010) has exceeded the AC Switch Response max Daily Count.,AC Masterpact doesn't close,,Relays/relay holders/UVR coil/AC Masterpact,
0015,DC Switch Response,The number of DC Switch Response events (code 2015) has exceeded the DC Switch Response max Daily Count.,DC Masterpact doesn't close,,Relays/relay holders/UVR coil/DC Masterpact,
0020,AC Caps AC MOV,The AC capacitor fuses have signaled a trip.,,,,
0026,ASIC Reset,The number of ASIC Reset events (code 2026) has exceeded the ASIC Max Daily Count,,,,
0027,MTHA (time counter),The MTHA time counter has signaled an error.,,,,
0031,Current Sensor,The AC current sensor has signaled a failure.,,,,
0032,Thermal Sensor S/C,The number of short-circuits detected by the thermal sensor (code 2032) has exceeded the maximum daily limit.,,,,
0033,Thermal Sensor O/C,The number of open-circuits detected by the thermal sensor (code 2033) has exceeded the maximum daily limit.,,,,
0040,PV Voltage Sensor,The number of PV Voltage Sensor events (code 2040) has exceeded the PV V Sns. max Daily Count.,,,,
0041,PV Current Sensor,The number of PV Current Sensor events (code 2041) has exceeded the PV I Sns. max Daily Count.,,,,
0050,Phase Imbalance,The number of Single Phase Transient events (code 2050) has exceeded the Single Phase Transient max Daily count. There has been a loss in at least one phase. The sensor might be signalling a fault.,Phase Imbalance,AC fuse(s) have blown,AC 1250A Fuse,
0070,LC EEPROM,The LC EEPROM is corrupted.,,,,
0071,Calibration EEPROM Zone,The calibration EEPROM is corrupted.,,,,
0072,APP Flash,The APP Flash is corrupted.,,,,
0073,APP EEPROM,The APP EEPROM is corrupted.,,,,
0076,Power Supply Fault,Fault signal received from the power supply.,,,,
0078,24V Aux Power,Fault signal received from the 24 V auxiliary power supply.,,,,
0079,CPU,"Fault signal received from the processor; this could be related to RAM, Flash, Task, or Stack.",,,,
0088,Daily CB cycling service,The Conext Core XC Series has exceeded the value for Max. Daily Online Cycling.,,,,
0201,Internal SW,Unexpected logic path detected in the software.,,,,
0202,Incompatible Configuration,An incompatible card has been installed.,,,,
0203,Invalid FGA Number,Configured FGA number in EEPROM is not recognized by system: XCxxx (f/w version 3.03 and later),,,,
0260,Unidentified LC,Unidentified LC detected.,,,,
0261,Incompatible Option Card,An incompatible option card has been installed.,,,,
0262,Incompatible Power Rating,The power configuration is mismatched to the hardware.,,,,
0263,Incompatible LC,The line control card firmware is mismatched.,,,,
0611,Precharging Timeout,The number of precharging system events (code 2611) has exceeded the Charging Max Daily Count or Voltage Ramp Timeout. Charging Max Daily Count resets automatically at midnight or with a manual Conext Core XC Series reset. Voltage Ramp Timeout resets when the Charging Ramp Disconnection Delay time is within range.,,,Resistors / K1 Contactor / Thermaclix / Power Stage Fault,
0620,AC Over Current,The number of overcurrent events (code 2620) and switching frequency events (code 2621) has exceeded the OCP Max Daily Count.,,,,
0630,IGBT Response,The number of IGBT Transient events (code 2630) has exceeded the IGBT Max Daily Count. IGBT Max Daily Count resets automatically at midnight or with a manual Conext Core XC Series reset.,,,,
0804,Door Interlock,A cabinet door interlock is compromised.,,,,
0820,RCD Over Current,The number of RCD Over Current events (code 2820) has exceeded the RCD max Daily Count.,,,,
0821,GFD Contact Response,"Only grounded with RISO on:
The GFDI Contactor remains closed during IM400 test or remains open after IM400 test.",,,,
0822,Ground Path is Open,The GFDI Contactor is open but the IM400 test is not in progress.,,,,
,Thermal Loading,IGBT modules temperature are too high,,,,
,,,,,,
,,,,,,
,,,,,,
