part_name,part_number,category,manufacturer,unit_price,warehouse_stock,terry_van_stock,jason_van_stock,min_stock_level,notes
ABB PVS-800:2 x 15V Mini Power Supply,,ABB PVS800,,250.0,0,0,0,0,240VAC / 2x15VDC Mini Power Supply
ABB PVS-800:ABB Charging Resistor,64803689,ABB PVS800,,75.48,0,0,0,0,CBHX 165 C 5R 414 Charging Resistor
ABB PVS-800:ABB DC Module,3AUA0000114471,ABB PVS800,,10000.0,0,0,0,0,DC Module for PVS-800-57
ABB PVS-800:ABB IGBT,ABB IGBT,ABB PVS800,,2500.0,0,0,0,0,ABB IGBT
ABB PVS-800:ABB Module Inspection,,ABB PVS800,,250.0,0,0,0,0,Inspection of ABB PVS800-57 module
ABB PVS-800:ABB PVS-800 Main Switch,,ABB PVS800,,4000.0,0,0,0,0,ABB PVS-800 Main Switch
ABB PVS-800:ABB PVS800 Cabinet Door Air Filters,,ABB PVS800,,200.0,0,0,0,0,Cabinet Door Air Filters
ABB PVS-800:ABB PVS800 LCL Filter,,ABB PVS800,,2000.0,0,0,0,0,ABB PVS800 LCL Filter
ABB PVS-800:ABB R8i Module,,ABB PVS800,,20000.0,0,0,0,0,R8i Module
ABB PVS-800:ACS800-104-XXXX-3/5/7; FLAT CABLE,,ABB PVS800,,109.5,0,0,0,0,ACS800-104-XXXX-3/5/7; FLAT CABLE
ABB PVS-800:AFIN-02C,3AXD50000038423,ABB PVS800,,1000.0,0,0,0,0,AFIN-02C Motor Control Board
ABB PVS-800:AFPS-11,,ABB PVS800,,1000.0,0,0,0,0,AFPS-11 PCB
ABB PVS-800:AINT-14C,68685826,ABB PVS800,,1021.88,0,0,0,0,MC Interface Board
ABB PVS-800:APOW-01C,64605666,ABB PVS800,,585.37,0,0,0,0,Power Supply Board APOW-01C
ABB PVS-800:Cabinet Fan,,ABB PVS800,,200.0,0,0,0,0,Single cabinet fan for PVS-800
ABB PVS-800:Cooling fan of LCL-filter unit,64650424,ABB PVS800,,1650.0,0,0,0,0,Cooling fan of LCL-filter unit
ABB PVS-800:DC Measurement Board,A21,ABB PVS800,,600.0,0,0,0,0,DC Measurement Board
ABB PVS-800:Main cooling fan inverter unit PVS800,,ABB PVS800,,495.0,0,0,0,0,Main cooling fan inverter unit
ABB PVS-800:Memory backup-battery in the Data Logger Unit,,ABB PVS800,,3.0,0,0,0,0,BR2032 Battery
ABB PVS-800:Murr Elecktronik 24V Power Supply,,ABB PVS800,,250.0,0,0,0,0,Murr Elecktronik 24V Power Supply
ABB PVS-800:Premium Drive Repair,,ABB PVS800,,550.0,0,0,0,0,"Premium Drive Repair, including strip & clean, removal of IGBTs, renew thermal paste & replace IGBTs"
ABB PVS-800:PVS-800 Capacitor,,ABB PVS800,,750.0,0,0,0,0,Single Capacitor
ABB PVS-800:RDCU-12C Control Unit,3AUA0000036521,ABB PVS800,,800.0,0,0,0,0,RDCU-12C Control Unit
ABB PVS-800:RDIO-01,64379216,ABB PVS800,,100.0,0,0,0,0,Digital I/O Extension
