site_id,equipment_type,manufacturer,model,serial_number,installation_date,warranty_expiry,notes
79748607-4a39-4ffd-a162-ce6c9aaefc8d,Inverter,ABB,ABB PVS800-57,8151502988,,,Station: 1 | Location: 1 | Power: 800kW | Inverters: 4
79748607-4a39-4ffd-a162-ce6c9aaefc8d,Inverter,ABB,ABB PVS800-57,8151502650,,,Station: 1 | Location: 2 | Power: 800kW
79748607-4a39-4ffd-a162-ce6c9aaefc8d,Inverter,ABB,ABB PVS800-57,8151501155,,,Station: 2 | Location: 3 | Power: 800kW
79748607-4a39-4ffd-a162-ce6c9aaefc8d,Inverter,ABB,ABB PVS800-57,8151501248,,,Station: 2 | Location: 4 | Power: 800kW
d48e90ac-4b8c-4cbf-94e5-09cdac9956ab,Inverter,Schneider,Schneider Conext Core XC,U21522001614,,,Station: A | Location: A.1 | Power: 680kW | Inverters: 6
d48e90ac-4b8c-4cbf-94e5-09cdac9956ab,Inverter,Schneider,Schneider Conext Core XC,U21511030011,,,Station: A | Location: A.2 | Power: 680kW
d48e90ac-4b8c-4cbf-94e5-09cdac9956ab,Inverter,Schneider,Schneider Conext Core XC,U21511000514,,,Station: B | Location: B.1 | Power: 680kW
d48e90ac-4b8c-4cbf-94e5-09cdac9956ab,Inverter,Schneider,Schneider Conext Core XC,U21511030008,,,Station: B | Location: B.2 | Power: 680kW
d48e90ac-4b8c-4cbf-94e5-09cdac9956ab,Inverter,Schneider,Schneider Conext Core XC,U21524030022,,,Station: C | Location: C.1 | Power: 680kW
d48e90ac-4b8c-4cbf-94e5-09cdac9956ab,Inverter,Schneider,Schneider Conext Core XC,U21511000511,,,Station: C | Location: C.2 | Power: 680kW
40940012-e997-4f71-99c4-d2d03b7ec3e9,Inverter,SMA,SMA SC-xxxCP-10,180804428,,,Station: 1 | Location: 1.1 | Inverters: 4
40940012-e997-4f71-99c4-d2d03b7ec3e9,Inverter,SMA,SMA SC-xxxCP-10,180804429,,,Station: 1 | Location: 1.2
40940012-e997-4f71-99c4-d2d03b7ec3e9,Inverter,SMA,SMA SC-xxxCP-10,180804430,,,Station: 2 | Location: 2.1
40940012-e997-4f71-99c4-d2d03b7ec3e9,Inverter,SMA,SMA SC-xxxCP-10,180804431,,,Station: 2 | Location: 2.2
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21543000194,,,Station: A | Location: A.1 | Power: 680kW | Inverters: 14
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21541001052,,,Station: A | Location: A.2 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21535000405,,,Station: B | Location: B.1 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21536000717,,,Station: B | Location: B.2 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21542001554,,,Station: C | Location: C.1 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21541000999,,,Station: C | Location: C.2 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21541001002,,,Station: D | Location: D.1 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21543000592,,,Station: D | Location: D.2 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21542001738,,,Station: E | Location: E.1 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21538000856,,,Station: E | Location: E.2 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21543000102,,,Station: F | Location: F.1 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21541000364,,,Station: F | Location: F.2 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21543000591,,,Station: G | Location: G.1 | Power: 680kW
1a0c03f8-58fa-4763-a773-f476d44767dc,Inverter,Schneider,Schneider Conext Core XC,U21535000414,,,Station: G | Location: G.2 | Power: 680kW
0031f77b-bb0a-42d2-a41b-92b00feb00a0,Inverter,SMA,SMA SC-xxxCP-10,180801642,,,Station: 1 | Location: 1.1 | Power: 900kW | Inverters: 6
0031f77b-bb0a-42d2-a41b-92b00feb00a0,Inverter,SMA,SMA SC-xxxCP-10,180801643,,,Station: 1 | Location: 1.2 | Power: 900kW
0031f77b-bb0a-42d2-a41b-92b00feb00a0,Inverter,SMA,SMA SC-xxxCP-10,180801656,,,Station: 2 | Location: 2.1 | Power: 900kW
0031f77b-bb0a-42d2-a41b-92b00feb00a0,Inverter,SMA,SMA SC-xxxCP-10,180801657,,,Station: 2 | Location: 2.2 | Power: 900kW
0031f77b-bb0a-42d2-a41b-92b00feb00a0,Inverter,SMA,SMA SC-xxxCP-10,180801654,,,Station: 3 | Location: 3.1 | Power: 900kW
0031f77b-bb0a-42d2-a41b-92b00feb00a0,Inverter,SMA,SMA SC-xxxCP-10,180801655,,,Station: 3 | Location: 3.2 | Power: 900kW
d3aebd40-fbd7-4405-a640-0bf08fa4e5e6,Inverter,SMA,SMA SC-xxxCP-10,180802319,,,Station: 1 | Location: 1.1 | Power: 900kW | Inverters: 4
d3aebd40-fbd7-4405-a640-0bf08fa4e5e6,Inverter,SMA,SMA SC-xxxCP-10,180802318,,,Station: 1 | Location: 1.2 | Power: 900kW
d3aebd40-fbd7-4405-a640-0bf08fa4e5e6,Inverter,SMA,SMA SC-xxxCP-10,180802275,,,Station: 2 | Location: 2.1 | Power: 900kW
d3aebd40-fbd7-4405-a640-0bf08fa4e5e6,Inverter,SMA,SMA SC-xxxCP-10,180802274,,,Station: 2 | Location: 2.2 | Power: 900kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 1.1,,,Station: 1 | Location: 1A | Power: 680kW | Inverters: 22
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 1.2,,,Station: 1 | Location: 1B | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 2.1,,,Station: 2 | Location: 2A | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 2.2,,,Station: 2 | Location: 2B | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 3.1,,,Station: 3 | Location: 3A | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 3.2,,,Station: 3 | Location: 3B | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 4.1,,,Station: 4 | Location: 4A | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 4.2,,,Station: 4 | Location: 4B | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 5.1,,,Station: 5 | Location: 5A | Power: 680kW
4b97df08-e832-4471-ae34-d04058e1d6b7,Inverter,Schneider,Schneider Conext Core XC,Aspatria 5.2,,,Station: 5 | Location: 5B | Power: 680kW
