site_name,address,postcode,access_codes,access_instructions,site_contact_name,site_contact_phone,site_contact_email,notes
ABP Barry Port,,CF63 3US,,,,,,
Actrees,,GL13 9PP,,,,,,
Aller Court,,TA10 0QR,,,,,,
Ardleigh,,CO7 7SS,,,,,,
Arkwright,,S44 5HF,,,,,,
Ashby,,LE65 2UN,,,,,,
Aspatria,,CA7 3JU,,,,,,
Aston House,,DE6 5AG,,,,,,
Atherstone,,CV9 3DT,,,,,,
Ayshford,,EX16 7HL,,,,,,
Baglan Bay,,SA12 7BP,,,,,,
Banwell,,BS29 6PQ,,,,,,
Bargoed,,CF48 4AE,,,,,,
Barn Farm,,CO11 2UX,,,,,,
Beachampton,,MK19 6EA,,,,,,
Bent Spur,,BL4 8SJ,,,,,,
Bentley,,BN8 5AE,,,,,,
Berwick,,BN26 6TR,,,,,,
Bobbing,,ME9 8NN,,,,,,
Bodmin 2,,PL31 2PF,,,,,,
Bournemouth,,BH23 6BG,,,,,,
Branston,,LN4 1NJ,,,,,,
Brick Kiln Lane,,NR14 8AJ,,,,,,
Broxted,,CB8 9YD,,,,,,
Burnt House,,PE7 2HS,,,,,,
Bystock Farm,,EX8 5ED,,,,,,
Caddington 1,,LU1 4AJ,,,,,,
Caddington 2,,LU1 4AR,,,,,,
Cairnhill,,AB53 5TN,,,,,,
Canada Farm,,DT11 0LU,,,,,,
Cantelupe,,CB23 1LY,,,,,,
Capel Grange,,TN12 6QU,,,,,,
Capelands,,EX32 7JN,,,,,,
Castle Combe,,SN14 7EY,,,,,,
Caswell,,BA22 9RH,,,,,,
Causilgey,,TR4 9DL,,,,,,
Chard,,TA20 4BU,,,,,,
Charity Farm,,SY4 5TB,,,,,,
Cheshire Coppice,,TF5 0DA,,,,,,
Christchurch,,BH23 8JX,,,,,,
Cobbs Cross,,TA5 2AG,,,,,,
Cooper House,,PR4 1HX,,,,,,
Copley,,NG23 5AT,,,,,,
Court Colman,,CF32 0HE,,,,,,
Creswell,,S80 4HT,,,,,,
Crewkerne 1,,TA18 7NX,,,,,,
