id,site_name,address,postcode,access_codes,access_instructions,site_contact_name,site_contact_phone,site_contact_email,notes,created_at,updated_at
0031f77b-bb0a-42d2-a41b-92b00feb00a0,Arkwright,,S44 5HF,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
0144a602-b8ea-4537-a6fd-897102002639,Ketton 1,,PE9 3SX,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
02a9ed88-60d5-4a00-9eef-d3e058b0b654,Westerfield,,OX18 3NX,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
0320b71d-a899-49d4-92e8-ca83988442f5,Southam,,CV47 2QG,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
03b4a2a2-1c7f-4a97-82dc-1b26466fe011,Drakelow,,DE15 9TY,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
045e9e4d-f386-4ba0-be2b-b2c5e9a03b8f,Thurcroft,,S66 9JD,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
04acb0a3-ab9f-454d-8a5d-6b0e069fc2ea,Skegness,,PE24 4UF,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
08794731-d975-477f-a767-eb83d4ea54e4,Whitelake,,BA4 6SY,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
098d7b68-d58a-4f7f-9681-e6da5fdf29c8,Burnt House,,PE7 2HS,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
0a0cb556-269f-4a61-9b8b-e3fea2306c21,Port Farm,,SN6 6JT,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
110e2ab3-ca4e-4530-beeb-4f23b6aa472c,Millar Farm,,BT41 2JJ,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
117456a3-5f19-46ea-af40-9411aecb59dd,Westfield,,PR3 0PU,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
14cd5eab-15be-4a94-b2b4-453ee51ae154,Upper Farm,,SO24 9SA,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
1574550b-3145-4613-8038-7006efe75847,Cobbs Cross,,TA5 2AG,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
1a0c03f8-58fa-4763-a773-f476d44767dc,Ardleigh,,CO7 7SS,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
1acc02d8-f242-44b0-b890-6092e325f065,West Woodlands,,BA11 5EN,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
1e99d943-f68f-4b0c-99f9-18db141b0462,Wisbridge,,SG8 8AH,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
1faa2e22-54db-4b18-80be-271c6c2003f0,Westwood,,CT12 5AS,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
21ca8018-0a4c-41ca-8d50-3a28da190d39,Croydon,,SG8 0DZ,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
225d959b-cfe4-4f14-ad05-b1d78bb27f5d,Tooleys,,CM6 3AA,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
2376bec1-3506-4959-a694-62cb1a3a5110,Milk Wall,,GL16 8QD,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
26e24274-1f71-4a33-8e6e-d727ee5bf099,Rampisham,,DT2 0HS,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
276246b7-eee0-4d80-87aa-1235fc985dc6,Hall Farm (XC),,NR15 1NA,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
28118401-1a3b-48b3-afc5-69d46bccf24d,Knowlton,,CT3 1PT,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
2934ca1f-135e-4f6b-9844-c8e9550081b3,Week Farm,,EX38 7HU,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
2a84d225-37a0-48ac-be08-10913a8648df,Berwick,,BN26 6TR,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
2c43f73e-1969-4e8c-9864-57d6df3ca97a,Hollies,,PE24 4SH,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
2dda260a-32fa-428f-b830-b6e388cac6d6,Upper Huntingford,,GL12 8EY,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
2efb2a47-f663-4b06-b7de-347e7e69ec32,Lovedean,,PO8 8RY,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
2f9ceb4f-6f8e-4410-a59b-ec014e222c9b,Gosfield,,CO9 1SA,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
36d2ee0f-6708-4ce5-a622-67460f97cce1,Owl's Hatch,,CT6 7NU,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
378bed3e-b450-49e3-82e8-75edd707de23,Cantelupe,,CB23 1LY,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
37ba0759-4b33-470f-8d0f-211e4aefa794,Beachampton,,MK19 6EA,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
380f503b-1589-4341-a6a3-eb7ace16f6c0,Weston Longville,,NR9 5LG,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
3ab358ea-538c-4d73-bb44-2b7138affd1c,Atherstone,,CV9 3DT,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
3ac1942d-6917-4875-a7bc-1d4596a5874a,Caswell,,BA22 9RH,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
3b92372f-8e12-4f02-92fe-74589d3125f5,Pyworthy,,EX22 6LJ,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
3db49b22-5338-4d2c-ad26-512383c28efb,Weston Longville (ABB),,NR9 5JF,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
3ecd9ab2-a08b-4b9f-bfb8-fecba6da806c,Capelands,,EX32 7JN,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
3f247b33-85ee-4b4a-be79-28dbb03f8b23,Ayshford,,EX16 7HL,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
4022910f-20b8-4e74-9ce8-50e8196aed1b,Kencot,,GL7 3QY,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
40940012-e997-4f71-99c4-d2d03b7ec3e9,Aller Court,,TA10 0QR,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
42e4fadc-9551-4abc-a66f-20983168faef,Kickles,,MK16 8EF,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
433fd1ad-3541-475b-98a2-b7e52bdcff2c,Wambrook,,TA20 3PS,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
452b0b1f-f992-4c5b-bd54-365c7e0172fd,Aston House,,DE6 5AG,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
4540e226-f335-4a3f-9c7a-266fdaec5a42,Higher Tregarne,,TR11 5PH,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
48c1723b-fd01-40bb-9d38-92b7057ec6a3,Higher Trevartha,,PL14 3NJ,,,,,,,2026-03-21 05:21:07.549226+00,2026-03-21 05:21:07.549226+00
